"Scenario","Method","Parameter","N_Estimate","N_Variance","Mean_Estimate","Bias","MC_SD","Mean_Analytic_SE","SE_to_MCSD","RMSE","Coverage","Mean_CI_Width","Mean_ESS","Mean_MaxWeight","Median_MaxWeight","P95_MaxWeight","Estimator_Failure_Rate","Variance_Failure_Rate","Lambda_Failure_Rate","Mean_Calibration_Residual"
"OR2PS1","AIPW","beta2",1000,1000,1.02940519893951,0.294051989395116,5.79459359320385,4.8745613198885,0.841225746289713,5.79915547023495,0.934,19.107929254827,305.34204996684,25.7366517031978,18.7109872075874,58.5689958787811,0,0,NA,NA
"OR2PS1","CC","beta0",1000,1000,1.84303181417668,13.4303181417668,1.5284886319787,1.61896009818413,1.05919014660143,13.5169296295297,0,6.34620696969666,NA,NA,NA,NA,0,0,NA,NA
"OR2PS1","CC","beta1",1000,1000,0.405585973344817,-3.89414026655183,1.31814844866416,1.11802933636503,0.848181657762496,4.11097387889578,0.099,4.38259446586936,NA,NA,NA,NA,0,0,NA,NA
"OR2PS1","CC","beta2",1000,1000,0.756791207837967,-2.43208792162033,2.07594915076829,2.15927545718516,1.04013889568828,3.19692148326957,0.802,8.46420425756834,NA,NA,NA,NA,0,0,NA,NA
"OR2PS1","CE","beta0",1000,1000,0.518173490177166,0.181734901771659,2.11220736801024,1.63212680076684,0.772711441824174,2.11895873485852,0.86,6.39781949541116,236.927855917907,38.8742099389845,34.2133693198872,78.6144998960185,1,0,0,0.000135626283637171
"OR2PS1","CE","beta1",1000,1000,0.788925454065811,-0.0607454593418872,1.10073730202338,1.04556843337758,0.949880077158841,1.10186251242534,0.938,4.09855294558405,236.927855917907,38.8742099389845,34.2133693198872,78.6144998960185,1,0,0,0.000135626283637171
"OR2PS1","CE","beta2",1000,1000,0.978642549077205,-0.213574509227947,4.25629099610806,2.98733002518766,0.701862261748378,4.25952005529953,0.82,11.7101185186059,236.927855917907,38.8742099389845,34.2133693198872,78.6144998960185,1,0,0,0.000135626283637171
"OR2PS1","ET","beta0",1000,1000,0.512250729283976,0.122507292839764,1.79994289063096,1.69477157711885,0.941569638648233,1.80320898731188,0.935,6.64338250635018,296.801286004071,22.9668488733623,21.6069379985362,37.9003303521427,0.259,0,0,2.2202228146893e-06
"OR2PS1","ET","beta1",1000,1000,0.792813316287578,-0.0218668371242198,1.08058069540791,1.0489769920074,0.970753037200439,1.08026160869244,0.945,4.11191424989131,296.801286004071,22.9668488733623,21.6069379985362,37.9003303521427,0.259,0,0,2.2202228146893e-06
"OR2PS1","ET","beta2",1000,1000,0.98599860469305,-0.140013953069497,3.4634642383221,3.16651120600983,0.914261267944799,3.46456243307291,0.905,12.4124958408435,296.801286004071,22.9668488733623,21.6069379985362,37.9003303521427,0.259,0,0,2.2202228146893e-06
"OR2PS1","Full","beta0",1000,1000,0.499188477718058,-0.00811522281941607,1.22214446936929,1.20879358538145,0.989075854514375,1.22156020062351,0.943,4.73838378418136,NA,NA,NA,NA,0,0,NA,NA
"OR2PS1","Full","beta1",1000,1000,0.797610201768815,0.0261020176881545,1.02178038451451,0.854822749046468,0.836601252090616,1.02160287507026,0.898,3.3508436025932,NA,NA,NA,NA,0,0,NA,NA
"OR2PS1","Full","beta2",1000,1000,0.999207776912554,-0.00792223087445786,1.66988020106141,1.70858574776427,1.02317863681374,1.66906385370753,0.963,6.69753306023281,NA,NA,NA,NA,0,0,NA,NA
"OR2PS1","HD","beta0",1000,1000,0.505202905224231,0.052029052242311,1.85036833930859,1.68179799349201,0.908899032567989,1.85017462700193,0.924,6.59252699303214,285.02444057463,25.1572801769783,23.6528428898482,40.6479691137521,0.789,0,0,5.25209420266981e-06
"OR2PS1","HD","beta1",1000,1000,0.792295532163936,-0.0270446783606411,1.08092091643303,1.04788394794617,0.969436276063673,1.08071876646169,0.944,4.10762959590427,285.02444057463,25.1572801769783,23.6528428898482,40.6479691137521,0.789,0,0,5.25209420266981e-06
"OR2PS1","HD","beta2",1000,1000,1.00104321780634,0.0104321780634396,3.59506334083118,3.13115312328253,0.87095909763821,3.59328050317573,0.888,12.2738947034277,285.02444057463,25.1572801769783,23.6528428898482,40.6479691137521,0.789,0,0,5.25209420266981e-06
"OR2PS1","IPW","beta0",1000,1000,0.550884614019737,0.508846140197367,2.5879518692235,2.25317091829465,0.870638648689666,2.63623249675247,0.887,8.8322677017411,305.34204996684,25.7366517031978,18.7109872075874,58.5689958787811,0,0,NA,NA
"OR2PS1","IPW","beta1",1000,1000,0.710203455013188,-0.847965449868122,2.58624830759069,1.83449411579453,0.709326366849715,2.72048470541138,0.798,7.19108479361585,305.34204996684,25.7366517031978,18.7109872075874,58.5689958787811,0,0,NA,NA
"OR2PS1","IPW","beta2",1000,1000,0.983239400225901,-0.167605997740988,3.7465472519666,3.41530891503496,0.911588373332866,3.74842253026337,0.93,13.3877649390942,305.34204996684,25.7366517031978,18.7109872075874,58.5689958787811,0,0,NA,NA
"OR2PS2","AIPW","beta0",1000,1000,0.499767589216701,-0.00232410783299389,1.49719750683506,1.54680281687892,1.0331321083674,1.49645052560246,0.966,6.06335562453556,436.579150566318,2.66442753858611,2.6191288373788,3.16935444193696,0,0,NA,NA
"OR2PS2","AIPW","beta1",1000,1000,0.797783222081369,0.0278322208136929,1.03823216072436,1.03552091149949,0.99738859059907,1.03808608798029,0.946,4.05916738355419,436.579150566318,2.66442753858611,2.6191288373788,3.16935444193696,0,0,NA,NA
"OR2PS2","AIPW","beta2",1000,1000,0.998349217796946,-0.0165078220305436,2.46058264948894,2.5489253097609,1.03590314687877,2.45940745224926,0.942,9.99160361282792,436.579150566318,2.66442753858611,2.6191288373788,3.16935444193696,0,0,NA,NA
"OR2PS2","CC","beta0",1000,1000,0.496689528262705,-0.033104717372946,1.77427230174437,1.82917835886074,1.03094567675007,1.7736939084433,0.962,7.17024740933428,NA,NA,NA,NA,0,0,NA,NA
"OR2PS2","CC","beta1",1000,1000,0.793947882296003,-0.0105211770399747,1.54938830239016,1.2965267434238,0.836799104152079,1.54864915414635,0.902,5.0822914442073,NA,NA,NA,NA,0,0,NA,NA
"OR2PS2","CC","beta2",1000,1000,0.998490651659662,-0.015093483403378,2.49709957342923,2.58704385101253,1.03601949979903,2.49589634932664,0.946,10.1410255488207,NA,NA,NA,NA,0,0,NA,NA
"OR2PS2","CE","beta0",1000,1000,0.50040700579475,0.00407005794749527,1.50124505048883,1.54352341359875,1.02816219983284,1.50049976017568,0.965,6.05050059989574,435.303781889354,3.27453610356504,2.99487226812146,5.00567795069353,1,0,0,2.4645011080471e-05
"OR2PS2","CE","beta1",1000,1000,0.797886157099304,0.028861570993038,1.03844798406233,1.03579872343052,0.997448826833437,1.03832982797746,0.947,4.06025638631277,435.303781889354,3.27453610356504,2.99487226812146,5.00567795069353,1,0,0,2.4645011080471e-05
"OR2PS2","CE","beta2",1000,1000,0.996984401370712,-0.0301559862928796,2.47167690091578,2.54093331033215,1.02802000916491,2.47062479938323,0.942,9.96027555073829,435.303781889354,3.27453610356504,2.99487226812146,5.00567795069353,1,0,0,2.4645011080471e-05
"OR2PS2","ET","beta0",1000,1000,0.500156452536537,0.00156452536537117,1.50044992052043,1.54397617831213,1.02900880409031,1.49970032398656,0.965,6.05227540495913,435.445159448372,3.05218925765945,2.91725674189357,4.0857903428777,0.263,0,0,2.70140985035835e-06
"OR2PS2","ET","beta1",1000,1000,0.797848684424542,0.028486844245422,1.03821495480199,1.03565405636251,0.997533363945839,1.03808665456078,0.947,4.05968930182667,435.445159448372,3.05218925765945,2.91725674189357,4.0857903428777,0.263,0,0,2.70140985035835e-06
"OR2PS2","ET","beta2",1000,1000,0.997525858054098,-0.0247414194590248,2.46885759343271,2.54214228462086,1.02968364452575,2.46774688667021,0.94,9.96501464286651,435.445159448372,3.05218925765945,2.91725674189357,4.0857903428777,0.263,0,0,2.70140985035835e-06
"OR2PS2","Full","beta0",1000,1000,0.499188477718058,-0.00811522281941607,1.22214446936929,1.20879358538145,0.989075854514375,1.22156020062351,0.943,4.73838378418136,NA,NA,NA,NA,0,0,NA,NA
"OR2PS2","Full","beta1",1000,1000,0.797610201768815,0.0261020176881545,1.02178038451451,0.854822749046468,0.836601252090616,1.02160287507026,0.898,3.3508436025932,NA,NA,NA,NA,0,0,NA,NA
"OR2PS2","Full","beta2",1000,1000,0.999207776912554,-0.00792223087445786,1.66988020106141,1.70858574776427,1.02317863681374,1.66906385370753,0.963,6.69753306023281,NA,NA,NA,NA,0,0,NA,NA
"OR2PS2","HD","beta0",1000,1000,0.500208726677471,0.00208726677471329,1.50060843690113,1.54373587626848,1.02873996860661,1.49985939737715,0.965,6.05133343825719,435.422800282185,3.10593593448257,2.93087235953938,4.34952347783566,0.752,0,0,4.88643138231612e-06
"OR2PS2","HD","beta1",1000,1000,0.797856682908841,0.0285668290884122,1.0382785080207,1.03568083042733,0.997498091722694,1.03815234993792,0.947,4.0597942542322,435.422800282185,3.10593593448257,2.93087235953938,4.34952347783566,0.752,0,0,4.88643138231612e-06
"OR2PS2","HD","beta2",1000,1000,0.997413645856996,-0.0258635414300364,2.4695291049255,2.54153688835106,1.02915850770171,2.4684295308656,0.94,9.96264153309614,435.422800282185,3.10593593448257,2.93087235953938,4.34952347783566,0.752,0,0,4.88643138231612e-06
"OR2PS2","IPW","beta0",1000,1000,0.499809484296158,-0.00190515703842221,1.51736377790612,1.55854929199312,1.02714280826174,1.51660610287917,0.967,6.10940096087385,436.579150566318,2.66442753858611,2.6191288373788,3.16935444193696,0,0,NA,NA
"OR2PS2","IPW","beta1",1000,1000,0.793976310421598,-0.0102368957840196,1.56158182995723,1.5318755360027,0.980976793284447,1.56083441398382,0.942,6.00484175872658,436.579150566318,2.66442753858611,2.6191288373788,3.16935444193696,0,0,NA,NA
"OR2PS2","IPW","beta2",1000,1000,0.998450359195453,-0.0154964080454741,2.51462690770582,2.57812778134939,1.0252526024632,2.51341705157252,0.939,10.1060751979739,436.579150566318,2.66442753858611,2.6191288373788,3.16935444193696,0,0,NA,NA
